time in s,CH2 in V
-99.00000E-6,14.15E-3
-99.00000E-6,54.15E-3
-98.80000E-6,14.15E-3
-98.80000E-6,74.15E-3
-98.60000E-6,34.15E-3
-98.60000E-6,74.15E-3
-98.40000E-6,34.15E-3
-98.40000E-6,94.15E-3
-98.20000E-6,34.15E-3
-98.20000E-6,94.15E-3
-98.00000E-6,34.15E-3
-98.00000E-6,94.15E-3
-97.80000E-6,34.15E-3
-97.80000E-6,94.15E-3
-97.59998E-6,54.15E-3
-97.59998E-6,94.15E-3
-97.39998E-6,34.15E-3
-97.39998E-6,94.15E-3
-97.19998E-6,54.15E-3
-97.19998E-6,94.15E-3
-96.99998E-6,54.15E-3
-96.99998E-6,94.15E-3
-96.79998E-6,54.15E-3
-96.79998E-6,94.15E-3
-96.59998E-6,54.15E-3
-96.59998E-6,94.15E-3
-96.39998E-6,54.15E-3
-96.39998E-6,94.15E-3
-96.19998E-6,54.15E-3
-96.19998E-6,114.2E-3
-95.99998E-6,54.15E-3
-95.99998E-6,94.15E-3
-95.79998E-6,54.15E-3
-95.79998E-6,114.2E-3
-95.59998E-6,54.15E-3
-95.59998E-6,94.15E-3
-95.39998E-6,54.15E-3
-95.39998E-6,114.2E-3
-95.19998E-6,54.15E-3
-95.19998E-6,94.15E-3
-94.99996E-6,74.15E-3
-94.99996E-6,114.2E-3
-94.79996E-6,54.15E-3
-94.79996E-6,114.2E-3
-94.59996E-6,54.15E-3
-94.59996E-6,114.2E-3
-94.39996E-6,54.15E-3
-94.39996E-6,114.2E-3
-94.19996E-6,54.15E-3
-94.19996E-6,114.2E-3
-93.99996E-6,54.15E-3
-93.99996E-6,114.2E-3
-93.79996E-6,54.15E-3
-93.79996E-6,114.2E-3
-93.59996E-6,54.15E-3
-93.59996E-6,94.15E-3
-93.39996E-6,54.15E-3
-93.39996E-6,94.15E-3
-93.19996E-6,54.15E-3
-93.19996E-6,114.2E-3
-92.99996E-6,54.15E-3
-92.99996E-6,114.2E-3
-92.79996E-6,54.15E-3
-92.79996E-6,114.2E-3
-92.59996E-6,54.15E-3
-92.59996E-6,94.15E-3
-92.39994E-6,54.15E-3
-92.39994E-6,94.15E-3
-92.19994E-6,54.15E-3
-92.19994E-6,94.15E-3
-91.99994E-6,34.15E-3
-91.99994E-6,94.15E-3
-91.79994E-6,54.15E-3
-91.79994E-6,94.15E-3
-91.59994E-6,34.15E-3
-91.59994E-6,94.15E-3
-91.39994E-6,34.15E-3
-91.39994E-6,74.15E-3
-91.19994E-6,34.15E-3
-91.19994E-6,94.15E-3
-90.99994E-6,34.15E-3
-90.99994E-6,74.15E-3
-90.79994E-6,34.15E-3
-90.79994E-6,74.15E-3
-90.59994E-6,14.15E-3
-90.59994E-6,74.15E-3
-90.39994E-6,34.15E-3
-90.39994E-6,74.15E-3
-90.19994E-6,14.15E-3
-90.19994E-6,74.15E-3
-89.99994E-6,14.15E-3
-89.99994E-6,74.15E-3
-89.79994E-6,14.15E-3
-89.79994E-6,74.15E-3
-89.59992E-6,14.15E-3
-89.59992E-6,74.15E-3
-89.39992E-6,-5.849E-3
-89.39992E-6,34.15E-3
-89.19992E-6,-5.849E-3
-89.19992E-6,54.15E-3
-88.99992E-6,-5.849E-3
-88.99992E-6,34.15E-3
-88.79992E-6,-5.849E-3
-88.79992E-6,54.15E-3
-88.59992E-6,-25.85E-3
-88.59992E-6,34.15E-3
-88.39992E-6,-25.85E-3
-88.39992E-6,34.15E-3
-88.19992E-6,-25.85E-3
-88.19992E-6,34.15E-3
-87.99992E-6,-25.85E-3
-87.99992E-6,14.15E-3
-87.79992E-6,-25.85E-3
-87.79992E-6,14.15E-3
-87.59992E-6,-25.85E-3
-87.59992E-6,14.15E-3
-87.39992E-6,-45.85E-3
-87.39992E-6,14.15E-3
-87.19992E-6,-45.85E-3
-87.19992E-6,14.15E-3
-86.99990E-6,-45.85E-3
-86.99990E-6,-5.849E-3
-86.79990E-6,-65.85E-3
-86.79990E-6,-5.849E-3
-86.59990E-6,-65.85E-3
-86.59990E-6,-25.85E-3
-86.39990E-6,-65.85E-3
-86.39990E-6,-5.849E-3
-86.20000E-6,-65.85E-3
-86.20000E-6,-25.85E-3
-86.00000E-6,-65.85E-3
-86.00000E-6,-25.85E-3
-85.80000E-6,-85.85E-3
-85.80000E-6,-45.85E-3
-85.60000E-6,-105.8E-3
-85.60000E-6,-25.85E-3
-85.40000E-6,-105.8E-3
-85.40000E-6,-45.85E-3
-85.20000E-6,-105.8E-3
-85.20000E-6,-45.85E-3
-85.00000E-6,-105.8E-3
-85.00000E-6,-45.85E-3
-84.80000E-6,-105.8E-3
-84.80000E-6,-65.85E-3
-84.60000E-6,-125.8E-3
-84.60000E-6,-65.85E-3
-84.40000E-6,-125.8E-3
-84.40000E-6,-85.85E-3
-84.19998E-6,-125.8E-3
-84.19998E-6,-85.85E-3
-83.99998E-6,-145.8E-3
-83.99998E-6,-105.8E-3
-83.79998E-6,-145.8E-3
-83.79998E-6,-105.8E-3
-83.59998E-6,-145.8E-3
-83.59998E-6,-105.8E-3
-83.39998E-6,-165.8E-3
-83.39998E-6,-105.8E-3
-83.19998E-6,-165.8E-3
-83.19998E-6,-125.8E-3
-82.99998E-6,-185.8E-3
-82.99998E-6,-125.8E-3
-82.79998E-6,-185.8E-3
-82.79998E-6,-145.8E-3
-82.59997E-6,-185.8E-3
-82.59997E-6,-125.8E-3
-82.39997E-6,-185.8E-3
-82.39997E-6,-145.8E-3
-82.19997E-6,-205.8E-3
-82.19997E-6,-165.8E-3
-81.99997E-6,-225.8E-3
-81.99997E-6,-165.8E-3
-81.79997E-6,-205.8E-3
-81.79997E-6,-165.8E-3
-81.59997E-6,-225.8E-3
-81.59997E-6,-185.8E-3
-81.39997E-6,-225.8E-3
-81.39997E-6,-185.8E-3
-81.19996E-6,-245.8E-3
-81.19996E-6,-205.8E-3
-80.99996E-6,-245.8E-3
-80.99996E-6,-205.8E-3
-80.79996E-6,-265.8E-3
-80.79996E-6,-225.8E-3
-80.59996E-6,-285.8E-3
-80.59996E-6,-225.8E-3
-80.39996E-6,-285.8E-3
-80.39996E-6,-225.8E-3
-80.19996E-6,-285.8E-3
-80.19996E-6,-245.8E-3
